compound,solvent,lambda_max,source
CC1=CC(C)=[N+]2C1=C(C(=O)O)c1c(C)cc(C)n1[B-]2(F)F,O,496.0,fluodb
CCOC(=O)c1c(-c2cc3ccc(OC)cc3oc2=O)nn(-c2ccccc2)c1C(=O)OCC,ClCCl,337.0,fluodb
CC1=C(SC#N)C(C)=[N+]2C1=C(C)c1c(C)c(SC#N)c(C)n1[B-]2(F)F,C1CCOC1,494.0,fluodb
CCOC(=O)c1c(-c2cc3ccccc3oc2=O)nn(-c2ccccc2)c1C(=O)OCC,ClCCl,323.0,fluodb
CC1CC(C)(C)N(C)c2ccc(C=Cc3ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)s3)cc21,CCO,475.0,fluodb
c1ccc2c(c1)c1ccccc1n1cccc21,CC#N,329.0,fluodb
COc1c2ccccc2c(-c2ccccc2)c2ccccc12,CCCCCC,378.0,fluodb
CCCCN1C(=O)C(=CC=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,CCO,424.0,fluodb
CCCCN1c2ccccc2Sc2cc(/C=C/C3=Nc4ccc5ccccc5c4C3(C)C)ccc21,C1CCOC1,416.0,fluodb
c1ccc(N2c3ccc4ccccc4c3-c3c4ccccc4nc[n+]3[B-]2(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,532.0,fluodb
OC(=N/N=C/c1ccccc1O)c1ccccc1,CC(C)=O,415.0,fluodb
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)Cc3cc(C#Cc5ccc6c(c5)C(CCCCCCCC)(CCCCCCCC)c5ccccc5-6)ccc3-4)cc21,CCCCCC,369.0,fluodb
COc1ccccc1C1=[N+]2C(=C(c3ccccc3)c3c4ccccc4c(-c4ccccc4OC)n3[B-]2(F)F)c2ccccc21,ClCCl,617.0,fluodb
COc1ccc2cc(/C=C/C3=C4CCc5ccccc5C4=[O+][B-](F)(F)O3)ccc2c1,ClCCl,479.0,fluodb
N#Cc1cccc(N)c1C#N,O,346.0,fluodb
c1ccc(-c2nc(-c3ccccc3)n3ccccc23)cc1,C1CCCCC1,302.0,fluodb
Cc1cc(C)n2c1C(=C1C=CC(=[N+](C)C)C=C1)c1c(C)cc(C)n1[B-]2(F)F,CO,495.0,fluodb
CCCCN(CCCC)c1ccc2c(c1)oc1c3oc(-c4ccc(C#N)cc4)nc3c3c(c4ccccc4n3C(=O)O)c21,C1COCCO1,427.0,fluodb
CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C=C(C)C1=C2,ClCCl,520.0,fluodb
c1ccc(N(c2ccccc2)c2ccc3c(ccc4nc5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5nc43)c2)cc1,ClCCl,476.0,fluodb
CCCCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCCCC)c(OCCCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCCCC,C1CCOC1,461.0,fluodb
COc1ccc2c(c1)c(-c1ccccc1)c(-c1ccccc1)[n+]1c3ccc(F)cc3c(-c3ccccc3)c(-c3ccccc3)c21,ClCCl,443.0,fluodb
OC(=N/N=C/c1ccccc1O)c1ccccc1O,CC#N,335.0,fluodb
c1ccc(-c2cnn(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,C1CCOC1,348.0,fluodb
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,352.0,fluodb
CC[N+]1(CC)Cn2c3cc(=[O+]C)c(OC)cc-3cc(C(=O)O)c2[N-]1,O,392.0,fluodb
c1cc2c3c(cccc3c1)NC(c1ccc3ccc4cccc5ccc1c3c45)N2,CO,340.0,fluodb
[C-]#[N+]c1ccc(-c2ccc(NC)cc2)cc1,C1CCCCC1,316.0,fluodb
CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccccc2)=CC(=C(C#N)C#N)C1,C1COCCO1,418.0,fluodb
CN(C)c1ccc(/C=C/c2nc3ccccc3s2)cc1,CO,397.0,fluodb
O=C1/C(=C/C=C/c2cc3c4c(c2)CCCN4CCC3)CC/C1=C\C=C\c1cc2c3c(c1)CCCN3CCC2,CCCCCC,457.0,fluodb
CCn1c2ccccc2c2cc(-c3cc(-c4ccc5c(c4)c4ccccc4n5CC)nc(C#N)n3)ccc21,CN(C)C=O,387.0,fluodb
CCCCCCOc1ccc(-c2ccc(N(c3ccc(-c4ccc(OCCCCCC)cc4)cc3)c3ccc(-c4cc5c(s4)c4sc(C=C(C#N)C(=O)O)cc4n5CCCCCC)cc3)cc2)cc1,ClCCl,524.0,fluodb
COc1ccc(C2=C(c3ccc(OC)cc3)C3(c4ccccc42)c2ccccc2-c2ccccc23)cc1,C1CCCCC1,314.0,fluodb
COC1=CC=CC(=[O+]C)C1=C1c2ccc(N(C)C)cc2P(=O)(C(C)(C)C)c2cc(N(C)C)ccc21,O,697.0,fluodb
CCOC(=O)c1c(NC(C)(C)C)oc(-c2ccc(-c3ccccc3)cc2)c1C(=O)OCC,CC#N,355.0,fluodb
Cc1cc(/C=C/C=C/C(c2ccccc2)c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,578.0,fluodb
CN(C)c1ccc(/C=C/C=C/c2ccc(C#N)cc2)cc1,CC#N,402.0,fluodb
CCC1=C(C)C2=C(c3ccc(C(=O)OC(C(=O)OC)c4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,528.0,fluodb
COc1ccc(-c2ccc(-c3ccc4n3[B-](F)(F)n3c(ccc3=c3ccc(=C5C=CC(=[O+]C)C=C5)s3)=C4c3c(C)cccc3C)s2)cc1,ClCCl,689.0,fluodb
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(N(c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3ccccc3-4)cc21,CC(C)=O,345.0,fluodb
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3c([o+]c2c1)-c1c(O)cccc1C3,O,575.0,fluodb
COc1ccc(-c2c3ccc(=[NH2+])cc-3oc3cc(N(C)C)ccc23)cc1,O,525.0,fluodb
Cc1cc(C)n2c1C(=C1C=CC(=[N+](c3ccccc3)c3ccccc3)C=C1)c1c(C)cc(C)n1[B-]2(F)F,CO,498.0,fluodb
Cc1cc2ccccc2c2c1c1ccccc1n2C(=O)OC(C)(C)C,ClCCl,300.0,fluodb
CN(C)c1ccc(-c2c3ccc(=[NH2+])cc-3sc3cc(N)ccc23)cc1,O,520.0,fluodb
CCc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,354.0,fluodb
Cc1ccc(C)n1-c1ccc(C#N)cc1,C1CCOC1,275.0,fluodb
CCCCn1c2ccccc2c2cc(C#Cc3ccc4ccc5cccc6ccc3c4c56)ccc21,ClCCl,402.0,fluodb
CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,C1CCOC1,462.0,fluodb
CCc1c(C)c2n(c1/C=C/c1c(C)cc(C)cc1C)[B-](F)(F)n1c(/C=C/c3c(C)cc(C)cc3C)c(CC)c(C)c1C2=C1C(F)=C(F)C(=[F+])C(F)=C1F,ClCCl,646.0,fluodb
C1=C(c2ccccc2)B(c2ccccc2)Nc2c1ccc1ccccc21,C1CCCCC1,365.0,fluodb
CCN(CC)c1ccc2cc3cc(-c4ccc(C#N)cc4)n(CCCC(=O)OCc4ccccc4)c(=O)n3c2c1,CCO,409.0,fluodb
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3sc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)c4nc(-c5ccc(C(=O)OC)cc5)c(-c5ccc(C(=O)OC)cc5)nc34)cc2)cc1,ClCCl,626.0,fluodb
N#Cc1c(C#N)c2ccc3ccc4ccccc4c3c2c2c1ccc1ccc3ccccc3c12,ClCCl,268.0,fluodb
CCCCC(CC)COc1ccc(-c2ccc(N(c3ccc(-c4cc5c(s4)-c4sc(-c6ccc(-c7ccc(C=C(C#N)C(=O)O)cc7)c7nc(-c8ccccc8)c(-c8ccccc8)nc67)cc4C5(CCC(CC)CCC)CC(CC)CCCC)cc3)c3ccc(-c4ccc(OCC(CC)CCCC)cc4OCC(CC)CCCC)cc3)cc2)c(OCC(CC)CCCC)c1,ClCCl,545.0,fluodb
F[B-]1(F)n2c(Sc3ccccc3)ccc2C(Sc2ccccc2)=C2C=CC(Sc3ccccc3)=[N+]21,CC(C)=O,603.0,fluodb
CCCCCC[C@H](CCCC)CC1=CC(c2ccc3c(c2)C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)=S=C1c1cc2c3nonc3c3cc(-c4sc(/C=C(\C#N)C(=O)O)cc4C[C@@H](CCCC)CCCCCC)sc3c2s1,C1CCOC1,462.0,fluodb
c1cc2c3c(cccc3c1)-c1cc3c(ccc4ccccc43)cc1-2,CCCCCCC,405.0,fluodb
CCCCCCc1cc(-c2ccc3c(c2)C(=C(C#N)C#N)c2cc(-c4cc(CCCCCC)c(-c5ccc(N(c6ccc(C)cc6)c6ccc(C)cc6)cc5)s4)ccc2-3)sc1/C=C(\C#N)C(=O)O,ClC(Cl)Cl,369.0,fluodb
Cc1cccc(-c2cnc3ccc4ccccc4n23)c1,ClCCl,325.0,fluodb
CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,360.5,fluodb
CCN(CC)c1ccc2c(c1)C(C)(C)c1cc(-c3oc4ccccc4c(=O)c3OC)ccc1-2,CS(C)=O,418.0,fluodb
N#C/C(=C/c1ccc2c(c1)c1ccccc1n2-c1ccccc1)C(=O)O,CC#N,395.0,fluodb
c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)[nH]c2-c2ccccc2)cc1,ClC(Cl)Cl,358.0,fluodb
N=c1oc2ccccc2cc1-c1ccc([N+](=O)[O-])cc1,CC#N,350.0,fluodb
CCN(CC)C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,C1CCOC1,414.0,fluodb
CO[Si](CCCSC(=O)CSc1ccccc1)(OC)OC,ClC(Cl)Cl,249.0,fluodb
Oc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,C1CCCCC1,340.0,fluodb
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,fluodb
Cc1ccccc1[B-]1(c2ccccc2C)n2nc(C(F)(F)F)cc2-c2c3ccccc3cc[n+]21,Cc1ccccc1,380.0,fluodb
CC1(C)CC(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1,ClCCl,410.0,fluodb
CCCCN1c2ccccc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)o3)ccc21,ClCCl,442.0,fluodb
COCCOCCOc1ccc(OCCOCCOC)c(C=O)c1,CN(C)C=O,350.0,fluodb
CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc([N+](=O)[O-])ccc21,O,413.0,fluodb
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)N=C2c3ccccc3C(c3ccccc3)=[N+]21,ClCCl,712.0,fluodb
F[B-]1(F)n2c(cc(-c3cccs3)c2-c2cccs2)C(c2ccccc2)=c2cc(-c3cccs3)c(=C3C=CC=[S+]3)n21,CCCCCC,636.0,fluodb
N#CC(=Cc1sc(-c2ccc(N(c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)c2c1OCCO2)C(=O)O,ClCCl,489.0,fluodb
COc1ccc(C2=CC(=c3ccc4c(c3)C=CC(=[N+](C)C)C=4)O[B-](F)(F)O2)cc1,CS(C)=O,512.0,fluodb
Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,ClCCl,465.0,fluodb
Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc(C(F)(F)F)cc1,ClCCl,343.0,fluodb
CCOC(=O)c1cc(C(=O)OCC)c2cc(N)ccc2n1,CCO,421.0,fluodb
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,503.0,fluodb
O=C1c2ccccc2-c2ccc(N3CCOCC3)c3cccc1c23,CCO,444.0,fluodb
N#CC(C#N)=C(C#N)c1ccc(O)c(O)c1,C1CCOC1,422.0,fluodb
COc1ccc(/C=C/C=C/C=C/c2ccc([N+](=O)[O-])cc2)cc1,CC1CCCCC1,413.0,fluodb
C(=C(c1ccccc1)c1ccccc1)c1ccc(C=C(c2ccccc2)c2ccccc2)cc1,C1CCOC1,352.0,fluodb
CCCCCCCCC1(CCCCCCCC)c2cc(C#CC#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(C=O)cc21,C1CCOC1,377.0,fluodb
CC(C)(C)c1ccc(C2=c3c(c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc34)=[N+]3C2=C(c2ccccc2)c2c(-c4ccc(C(C)(C)C)cc4)c4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc5c4n2[B-]3(F)F)cc1,ClCCl,683.0,fluodb
COc1ccc2cc(-c3ccc(C(F)(F)F)cc3)oc(=O)c2c1,CCCCCCCCO,327.0,fluodb
CN(C)c1ccc2c3c(ccc2c1)CCCC3=O,CCC(C)=O,398.0,fluodb
C[N+](C)=C1C=CC(=C2N=C3SC=C(c4ccc([N+](=O)[O-])cc4)N3[B-](F)(F)O2)C=C1,ClCCl,417.0,fluodb
C1=Nc2cccc3cccc(c23)N1,CS(C)=O,333.0,fluodb
COc1cc(-c2ccccc2)c2n[n+](-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3ccccc3c2c1,ClCCl,467.0,fluodb
CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,C1CCOC1,383.0,fluodb
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)=C2SCC(=O)O)N(Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,O,786.0,fluodb
Cc1cc(C)n2c1C=C1c3ccccc3C(C#Cc3ccccc3)=[N+]1[B-]2(F)F,CCOC(C)=O,606.0,fluodb
C(=C/c1cc(/C=C/c2ccccc2)cc(/C=C/c2ccccc2)c1)\c1ccccc1,ClCCl,317.0,fluodb
CC1=C2C=CC(c3ccc(C(C)(C)C)cc3)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,518.0,fluodb
CCCCCCCCn1c(=O)/c(=c2\s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc4c(c3)C(CCCC)(CCCC)c3ccccc3-4)c(=O)n2CC(=O)O)s/c1=C(/C#N)C(=O)O,ClC(Cl)Cl,558.0,fluodb
CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(OCC)c1,CS(C)=O,572.0,fluodb
CCOc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2CC,CC#N,474.0,fluodb
CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCCO,519.0,fluodb
CCOC(=O)c1ccc(-c2c3cc(N(C)C)ccc3nn2C)o1,CC#N,389.0,fluodb
CCCCCCc1ccc(-n2c3c4cccc(OC)c4nnc3c3c2c2nnc4c(OC)cccc4c2n3-c2ccc(CCCCCC)cc2)cc1,Cc1ccccc1,392.0,fluodb
CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CCO,355.0,fluodb
COC(=O)C(Cc1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1)N=C(O)OC(C)(C)C,CC1CCCO1,341.0,fluodb
CCN1c2cc3c(cc2C(C)=CC1(C)C)C(c1ccccc1C(=O)[O-])=c1cc2c(cc1C3(C)C)=[N+](CC)C(C)(C)C=C2C,CCO,670.0,fluodb
Brc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClC(Cl)Cl,325.0,fluodb
O=Cc1cc(O)c(C=O)cc1O,CCO,413.0,fluodb
Cc1cc(C)c(C2=C3C=C([Si](c4ccccc4)(c4ccccc4)c4ccccc4)C=[N+]3[B-](F)(F)n3cc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc32)c(C)c1,CO,513.0,fluodb
O=C(O)CCN1CCCc2cc3cc4c(=O)oc5c6c7c(cc5c4[o+]c3cc21)CCCN7CCC6,O,608.0,fluodb
O=C1/C(=C/C=C/c2cc3c4c(c2)CCCN4CCC3)CC/C1=C\C=C\c1cc2c3c(c1)CCCN3CCC2,ClCCl,529.0,fluodb
CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(SC)n3)ccc21,ClCCl,396.0,fluodb
COc1ccc(-c2csc(-c3ccncc3)n2)cc1,ClCCl,401.0,fluodb
C[O+]=C1C=CC(=C2c3ccc(Br)n3[B-](F)(F)n3c(Br)ccc32)C=C1,Cc1ccccc1,522.0,fluodb
c1ccc(-c2nc(-c3cccc4ccccc34)n3ccccc23)cc1,C1CCCCC1,362.0,fluodb
Cc1cc2c(ccc3c[n+](C)c(C)cc32)c[n+]1C,CC#N,400.0,fluodb
CCCCCCN1C(=O)c2cccc3c(-c4ccc(Br)cc4)ccc(c23)C1=O,CN(C)C=O,354.0,fluodb
CCCCCCCCC(CCCCCC)Cn1c2c3ccc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)cc3sc2c2sc3cc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)c5nsnc45)ccc3c21,C1CCOC1,504.0,fluodb
Cn1c(-c2ccccc2)c(N=Nc2nc(S)n[nH]2)c2ccccc21,CS(C)=O,394.0,fluodb
CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CC#N,352.0,fluodb
C[Si]1(C)c2ccc(-c3cccs3)cc2C=Cc2cc(-c3cccs3)ccc21,ClCCl,354.0,fluodb
CN(C)c1nc(-c2ccc(Br)cc2)c(-c2ccc([N+](=O)[O-])s2)s1,CC#N,478.0,fluodb
C[N+](C)=C1C=CC(=CC=CC=C2Sc3ccccc3N2Cc2ccccc2)C=C1,O,541.0,fluodb
CC1=c2ccc(=C3C=CC=[O+]3)n2[B-](F)(F)n2c(C)cc(C)c21,CC#N,542.0,fluodb
CCCCOc1ccc(-c2c(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)n3c2C(=C2C=CC(=[O+]CCCC)C=C2)c2c(-c4ccc(OCCCC)cc4)c(-c4ccc(Br)cc4)c(-c4ccc(Br)cc4)n2[B-]3(F)F)cc1,ClCCl,572.0,fluodb
C[N+]1=C(C=CC2=C3Oc4c(cc(F)c(N5CCCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,707.0,fluodb
CCN(CC)c1ccc2cc(C=CC(=O)c3c(O)c4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CC#N,511.0,fluodb
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)o2)cc1,Cc1ccccc1,311.0,fluodb
CC/N=c1\cc2oc3cc([NH2+]CC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,CN(C)C=O,534.0,fluodb
CC(C)(C)N=C(O)C(c1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1)N(C(=O)CCl)c1ccc(Cl)cc1,C1CCOC1,501.5,fluodb
O=C(O)CSC1=[N+]2C(=C(c3ccccc3)c3ccc(SCC(=O)O)n3[B-]2(F)F)C=C1,CO,573.0,fluodb
COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,C1COCCO1,321.0,fluodb
COC(=O)/C(C#N)=c1\s/c(=c2/s/c(=C(/C#N)C(=O)OC)c3cc(-c4ccc(C)cc4)sc23)c2sc(-c3ccc(C)cc3)cc12,Cc1ccccc1,612.0,fluodb
CCCCCCC1=CC(c2cc(CCCCCC)c(N(c3ccc(OC)cc3)c3ccc(OC)cc3)s2)=S=C1c1ccc(-c2ccc(-c3sc(C=C(C#N)C(=O)O)cc3CCCCCC)s2)s1,ClC(Cl)Cl,475.0,fluodb
OC(=N/N=C/c1ccccc1O)c1ccccc1O,CS(C)=O,385.0,fluodb
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(C=O)c4ccc1c2c43,CCO,474.0,fluodb
CCCCCCCn1c2ccc(/C=C(\C#N)C(=O)O)cc2c2ccc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c7cc(/C=C(\C#N)C(=O)O)ccc7n(CCCCCCC)c6c5)cc4)c4ccc(/C=C/c5ccc6c7cc(/C=C(\C#N)C(=O)O)ccc7n(CCCCCCC)c6c5)cc4)cc3)cc21,ClCCl,402.0,fluodb
CCN(CCCN(C)C)c1ccc2c(-c3ccc(F)c(C)c3)c3ccc(=[NH2+])cc-3oc2c1,O,525.0,fluodb
CN(C)c1ccc(C(=O)Nc2cccc(Cl)c2)cc1,CCOCC,311.0,fluodb
CCCCCCCCOc1ccc(OCCCCCCCC)c(/C=C/c2ccc3n2[B-](F)(F)N2C4=C3c3ccc(/C=C/C5=CC(=[O+]CCCCCCCC)C=CC5=[O+]CCCCCCCC)n3[B-](F)(F)N4c3ccccc32)c1,ClCCl,784.0,fluodb
CCOC(=O)c1sc2nc(-c3ccccc3)c(C)c(C#N)c2c1N,C1COCCO1,420.0,fluodb
N=c1[nH][n+](=O)c2cc(F)ccc2n1[O-],CC#N,489.0,fluodb
N#CC(=Cc1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1)C(=O)O,CO,397.0,fluodb
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CO,326.0,fluodb
COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1,CC1CCCCC1,375.0,fluodb
CCCCSC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CO,491.0,fluodb
CCCCCCOc1c2ccc(N(c3ccccc3)c3ccc4cc5ccccc5cc4c3)cc2c(OCCCCCC)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)cc12,C1CCOC1,493.0,fluodb
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3c4ccccc4c(C#CC#Cc4ccc(C(=O)O)cc4)c4ccccc34)cc2)cc1,ClCCl,448.0,fluodb
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5cccc6ccccc56)cc4cc23)cc1,C1CCOC1,447.0,fluodb
Cc1cc(C)n2c1C=C1c3ccccc3C(c3c[nH]c4ccccc34)=[N+]1[B-]2(F)F,CO,579.0,fluodb
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CO,384.0,fluodb
N#C/C(=C\c1ccc(C#Cc2c3ccccc3c(-c3ccc(N(c4ccccc4)c4ccccc4)s3)c3ccccc23)s1)C(=O)O,CCO,469.0,fluodb
CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,c1ccccc1,648.0,fluodb
Cc1cc(/C=C/c2ccc(Oc3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,fluodb
CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccccc4)ccc(c23)C1=O,CCCCCCCCCCCO,353.0,fluodb
CN(C)c1ccc2nc(-c3ccc(C(=O)O)cc3)sc2c1,CC(C)O,374.0,fluodb
Cc1c2oc(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)c2c(C)c2oc(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)c12,ClCCl,228.0,fluodb
CN1c2cc3[o+]c4cc5c(cc4c(-c4ccccc4C(=O)[O-])c3cc2-c2ccsc2C1(C)C)-c1ccsc1C(C)(C)N5C,CO,581.0,fluodb
CN(C)c1cc2oc3cc(N(C)C)c(F)cc3c(=O)c2cc1F,CCO,378.0,fluodb
CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)ncn2)cc1,ClCCl,429.0,fluodb
CCCCC(CC)COc1ccc(-c2cc3c4c5c2cccc5c2cccc5c(-c6ccc(-c7ccc(-c8ccc(/C=C(\C#N)C(=O)O)s8)c8nc(-c9ccccc9)c(-c9ccccc9)nc78)s6)cc(c4c52)n3CC(CC)CCCC)cc1,C1CCOC1,525.0,fluodb
CCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCC)=C1C=CC(=CC=C2C=CN(Cc3cc(CN4C=CC(=CC=C5C=CC(=[N+](CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C5)C=C4)cc(CN4C=CC(=CC=C5C=CC(=[N+](CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C5)C=C4)c3)C=C2)C=C1,CS(C)=O,486.0,fluodb
COc1ccc(C=Cc2sc(C=C(C#N)c3cccs3)c3c2OCCO3)cc1,ClCCl,460.0,fluodb
c1ccc(-c2cc(-c3ccc4ccc5cccc6ccc3c4c56)ccn2)nc1,C1CCOC1,344.0,fluodb
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)cc3)cc2)cc1,C1CCOC1,432.0,fluodb
COc1cccc2cc(-c3ccc([N+](=O)[O-])cc3)c(=N)oc12,ClC(Cl)Cl,332.0,fluodb
Cc1ccc(C2=C3C=CC(=[N+]4CCCCC4)N3[B-](F)(F)n3c2ccc3N2CCCCC2)cc1,C1CCCCC1,584.0,fluodb
CC1c2cc(Br)ccc2-c2cc3c(C#C[Si](C)(C)C)c4ccccc4c(C#C[Si](C)(C)C)c3cc21,ClCCl,457.0,fluodb
CCCCCCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccc(C=O)cc5)c(OC)cc4c3c3c2ccc2cc(-c4ccc(C=O)cc4)c(OC)cc23)C1=O,ClCCl,428.0,fluodb
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)N=C(O)OC(C)(C)C,OCCO,356.0,fluodb
CCCCN(CCCC)c1ccc2c(c1)C#CC#Cc1cc(C(F)(F)F)ccc1C#Cc1cc(c3cc1C#Cc1ccc(N(CCCC)CCCC)cc1C#CC#Cc1cc(C(F)(F)F)ccc1C#C3)C#C2,ClCCl,477.0,fluodb
F[B-]1(F)n2c(c(-c3cccs3)c3c2-c2ccccc2CC3)C=C2C(c3cccs3)=C3CCc4ccccc4C3=[N+]21,Cc1ccccc1,646.0,fluodb
COC(=O)c1ccccc1-c1c2ccc(N(C)C)cc2[o+]c2c1ccc1cccc(OC)c12,O,568.0,fluodb
CC1=[N+]2C(=C(c3ccccc3C)c3cc(-c4cc5n(c4)[B-](F)(F)[N+]4=CC=CC4=C5c4c(C)cc(C)cc4C)c(C)n3[B-]2(F)F)C=C1,CCOC(C)=O,599.0,fluodb
CN(C)c1cc(-c2ccc(C#Cc3ccccc3)cc2)cc2ccccc12,CCO,300.0,fluodb
